Source;Target;Weight
injustice;injustice;1.0
interest;injustice;1.0
interest;interest;1.0
interest;justice;1.0
interest;man;1.0
interest;men;1.0
interest;nature;1.0
interest;state;1.0
journey;bodily;1.0
journey;choice;1.0
journey;earth;1.0
journey;evil;1.0
journey;injustice;1.0
journey;journey;1.0
journey;justice;1.0
journey;life;1.0
journey;live;1.0
journey;lot;1.0
journey;man;1.0
journey;men;1.0
journey;nature;1.0
journey;number;1.0
journey;other;1.0
journey;principle;1.0
journey;qualities;1.0
journey;reason;1.0
journey;sort;1.0
journey;soul;1.0
journey;state;1.0
journey;thing;1.0
journey;time;1.0
journey;virtue;1.0
journey;way;1.0
journey;world;1.0
justice;justice;1.0
kind;citing;1.0
kind;citizen;1.0
kind;class;1.0
kind;eye;1.0
kind;gold;1.0
kind;govern;1.0
kind;guardian;1.0
kind;hand;1.0
kind;happily;1.0
kind;individual;1.0
kind;injustice;1.0
kind;justice;1.0
kind;kind;1.0
kind;law;1.0
kind;life;1.0
kind;man;1.0
kind;men;1.0
kind;nature;1.0
kind;one;1.0
kind;order;1.0
kind;other;1.0
kind;part;1.0
kind;potter;1.0
kind;power;1.0
kind;principle;1.0
kind;protect;1.0
kind;reason;1.0
kind;ruler;1.0
kind;sort;1.0
kind;soul;1.0
kind;state;1.0
kind;thing;1.0
kind;time;1.0
kind;truth;1.0
kind;view;1.0
kind;virtue;1.0
kind;way;1.0
kind;work;1.0
knowledge;god;1.0
knowledge;justice;1.0
knowledge;knowledge;1.0
knowledge;life;1.0
knowledge;man;1.0
knowledge;men;1.0
knowledge;nature;1.0
knowledge;soul;1.0
knowledge;state;1.0
knowledge;thing;1.0
knowledge;time;1.0
knowledge;truth;1.0
knowledge;way;1.0
law;citizen;1.0
law;class;1.0
law;guardian;1.0
law;happily;1.0
law;individual;1.0
law;justice;1.0
law;law;1.0
law;life;1.0
law;man;1.0
law;men;1.0
law;nature;1.0
law;ruler;1.0
law;state;1.0
law;thing;1.0
law;way;1.0
law;work;1.0
license;Gutenberg;1.0
license;Gutenberg-tm;1.0
license;agreement;1.0
license;copies;1.0
license;copyright;1.0
license;found;1.0
license;license;1.0
license;protect;1.0
license;refund;1.0
license;state;1.0
license;term;1.0
license;unit;1.0
license;work;1.0
life;life;1.0
light;light;1.0
light;spindle;1.0
literary;Archive;1.0
literary;Gutenberg;1.0
literary;Gutenberg-tm;1.0
literary;found;1.0
literary;literary;1.0
literary;protect;1.0
literary;term;1.0
literary;work;1.0
live;evil;1.0
live;justice;1.0
live;life;1.0
live;live;1.0
live;lot;1.0
live;man;1.0
live;men;1.0
live;nature;1.0
live;other;1.0
live;soul;1.0
live;state;1.0
live;thing;1.0
live;way;1.0
lot;lot;1.0
lot;man;1.0
lot;soul;1.0
man;injustice;1.0
man;justice;1.0
man;man;1.0
manner;Thrasymachus;1.0
manner;god;1.0
manner;injustice;1.0
manner;interest;1.0
manner;justice;1.0
manner;life;1.0
manner;man;1.0
manner;manner;1.0
manner;men;1.0
manner;nature;1.0
manner;other;1.0
manner;power;1.0
manner;soul;1.0
manner;state;1.0
manner;way;1.0
master;action;1.0
master;art;1.0
master;case;1.0
master;desire;1.0
master;evil;1.0
master;friend;1.0
master;god;1.0
master;injustice;1.0
